,location_ref,location_code,location_name,admin1_ref,admin1_code,admin1_name,admin2_ref,admin2_code,admin2_name,resource_hdx_id,org_acronym,org_name,sector_code,sector_name,reference_period_start,reference_period_end,org_type_code,org_type_description
0,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,A4T,Afghans 4 Tomorrow,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
1,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AADA,Agency for Assistance and Development of Afghanistan,NUT,Nutrition,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
2,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AAR-JAPAN,Association of Aid and Relief,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
3,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,ACHRO,Association of Chief Human Resource Officers,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
4,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,ADA,Afghan Development Association,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
5,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AEHDA,Afghanistan Educational and Health Development Aids Organization,HEA,Health,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
6,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AFD,Action for Development,HEA,Health,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
7,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AFD,Action for Development,NUT,Nutrition,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
8,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AHDAA,Agency for Humanitarian Development Assistance for Afghanistan,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
9,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AIL,Afghan Institute of Learning,NUT,Nutrition,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
10,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AKHS,Aga Khan Health Service,NUT,Nutrition,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
11,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,ALSDO,Afghanistan Legal & Social Development Organization,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
12,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AOAD,Accessibility Organization for Afghan Disabled,HEA,Health,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
13,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AOAD,Accessibility Organization for Afghan Disabled,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
14,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AREP,Afghanistan Rehabilitation and Educational Programs,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
15,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,ARWEO,Afghanistan Rehabilitation and Women Education Organization,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
16,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,ASCHIANA,ASCHIANA: Afghansitan's Children - a New Approach,EDU,Education,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
17,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,ASCHIANA,ASCHIANA: Afghansitan's Children - a New Approach,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
18,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,ASLO,Afghanistan Social and Legal Orgnization,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
19,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,ASOW,Afghan Social Organization for Women,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
20,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AWARD,Afghan Women Association for Rehabilitation and Development,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
21,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AWCPO,Afghan Women Coordination and Promotion Organization,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
22,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AWDREO,Action For Welfare And Development In Rural Environments Organization,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
23,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,AWSDC,Afghan Women Skill Development Centre,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
24,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,CARE,Care International in Afghanistan,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
25,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,CARITAS-G,Caritas Germany,HEA,Health,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
26,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,CHA,Coordination of Humanitarian Assistance,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
27,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,COAR,Coordination of Afghan Relief,WSH,Water Sanitation Hygiene,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
28,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,DACAAR,Danish Committee for Aid to Afghan Refugees,WSH,Water Sanitation Hygiene,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
29,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,DRC,Danish Refugee Council,HEA,Health,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
30,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,DRC,Danish Refugee Council,PRO,Protection,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
31,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,DRC,Danish Refugee Council,SHL,Emergency Shelter and NFI,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
32,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,EMERGENCY,EMERGENCY NGO,HEA,Health,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
33,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,FCDO,Friends Community Development Organization,FSC,Food Security,2024-01-01T00:00:00,2024-03-31T23:59:59,441,National NGO
34,1,AFG,Afghanistan,1,AF01,Kabul,1,AF0101,Kabul,6bf7a159-c6dd-4afb-ac66-31ee04568d27,GDWS,Georg Dechentreiter Welfare Society,NUT,Nutrition,2024-01-01T00:00:00,2024-03-31T23:59:59,437,International NGO
